image,source_set
00_173_az_190.810_el_3.500.png,clear_horizon
00_239_az_196.830_el_3.500.png,clear_horizon
00_328_az_202.840_el_3.500.png,clear_horizon
00_409_az_208.820_el_3.500.png,clear_horizon
00_482_az_214.830_el_3.500.png,clear_horizon
00_561_az_220.820_el_3.500.png,clear_horizon
00_649_az_226.820_el_3.500.png,clear_horizon
00_720_az_232.830_el_3.500.png,clear_horizon
00_799_az_238.820_el_3.500.png,clear_horizon
00_891_az_244.840_el_3.500.png,clear_horizon
00_964_az_250.810_el_3.500.png,clear_horizon
01_035_az_256.830_el_3.500.png,clear_horizon
01_128_az_262.820_el_3.500.png,clear_horizon
01_211_az_268.790_el_3.500.png,clear_horizon
01_257_az_94.530_el_11.900.png,clear_horizon
01_280_az_274.830_el_3.500.png,clear_horizon
01_346_az_100.500_el_11.900.png,clear_horizon
01_368_az_280.800_el_3.500.png,clear_horizon
01_436_az_106.510_el_11.900.png,clear_horizon
01_445_az_286.810_el_3.500.png,clear_horizon
01_506_az_112.530_el_11.900.png,clear_horizon
01_528_az_292.830_el_3.500.png,clear_horizon
01_595_az_118.490_el_11.900.png,clear_horizon
01_618_az_298.790_el_3.500.png,clear_horizon
01_654_az_124.500_el_11.900.png,clear_horizon
01_677_az_304.800_el_3.500.png,clear_horizon
01_739_az_130.500_el_11.900.png,clear_horizon
01_763_az_310.800_el_3.500.png,clear_horizon
01_822_az_136.480_el_11.900.png,clear_horizon
01_845_az_316.780_el_3.500.png,clear_horizon
01_907_az_142.480_el_11.900.png,clear_horizon
01_930_az_322.780_el_3.500.png,clear_horizon
01_985_az_148.480_el_11.900.png,clear_horizon
02_007_az_328.780_el_3.500.png,clear_horizon
02_090_az_334.790_el_3.500.png,clear_horizon
02_177_az_340.740_el_3.500.png,clear_horizon
02_217_az_346.770_el_3.500.png,clear_horizon
02_321_az_352.750_el_3.500.png,clear_horizon
02_494_az_4.770_el_3.500.png,clear_horizon
02_570_az_10.720_el_3.500.png,clear_horizon
02_641_az_16.730_el_3.500.png,clear_horizon
02_730_az_22.740_el_3.500.png,clear_horizon
02_816_az_28.700_el_3.500.png,clear_horizon
02_881_az_34.730_el_3.500.png,clear_horizon
02_973_az_40.710_el_3.500.png,clear_horizon
03_050_az_46.730_el_3.500.png,clear_horizon
03_128_az_52.720_el_3.500.png,clear_horizon
03_206_az_58.710_el_3.500.png,clear_horizon
03_291_az_64.700_el_3.500.png,clear_horizon
03_360_az_70.700_el_3.500.png,clear_horizon
03_530_az_82.710_el_3.500.png,clear_horizon
03_611_az_88.700_el_3.500.png,clear_horizon
03_690_az_94.710_el_3.500.png,clear_horizon
03_763_az_100.690_el_3.500.png,clear_horizon
03_850_az_106.740_el_3.500.png,clear_horizon
03_932_az_112.740_el_3.500.png,clear_horizon
04_015_az_118.730_el_3.500.png,clear_horizon
04_083_az_124.750_el_3.500.png,clear_horizon
04_176_az_130.730_el_3.500.png,clear_horizon
04_241_az_136.760_el_3.500.png,clear_horizon
04_321_az_142.770_el_3.500.png,clear_horizon
04_414_az_148.770_el_3.500.png,clear_horizon
04_492_az_154.770_el_3.500.png,clear_horizon
04_572_az_160.760_el_3.500.png,clear_horizon
04_643_az_166.800_el_3.500.png,clear_horizon
04_723_az_172.780_el_3.500.png,clear_horizon
04_802_az_178.770_el_3.500.png,clear_horizon
04_883_az_184.790_el_3.500.png,clear_horizon
05_039_az_196.790_el_3.500.png,clear_horizon
05_121_az_202.800_el_3.500.png,clear_horizon
05_202_az_208.780_el_3.500.png,clear_horizon
05_282_az_214.790_el_3.500.png,clear_horizon
05_373_az_220.780_el_3.500.png,clear_horizon
05_455_az_226.780_el_3.500.png,clear_horizon
05_524_az_232.780_el_3.500.png,clear_horizon
05_615_az_238.760_el_3.500.png,clear_horizon
05_685_az_244.770_el_3.500.png,clear_horizon
05_761_az_250.750_el_3.500.png,clear_horizon
05_830_az_256.770_el_3.500.png,clear_horizon
05_924_az_262.770_el_3.500.png,clear_horizon
06_017_az_268.750_el_3.500.png,clear_horizon
06_061_az_274.790_el_3.500.png,clear_horizon
06_149_az_100.460_el_11.900.png,clear_horizon
06_175_az_280.760_el_3.500.png,clear_horizon
06_232_az_106.460_el_11.900.png,clear_horizon
06_254_az_286.760_el_3.500.png,clear_horizon
06_311_az_292.790_el_3.500.png,clear_horizon
06_334_az_112.490_el_11.900.png,clear_horizon
06_395_az_298.740_el_3.500.png,clear_horizon
06_418_az_118.440_el_11.900.png,clear_horizon
06_469_az_124.460_el_11.900.png,clear_horizon
